"","date","net_kWh","produced_kWh","consumed_kWh"
"372",2023-04-21,-62.02,84.146,22.126
"373",2023-04-22,-31.18,48.353,17.173
"374",2023-04-23,-27.43,62.312,34.882
"375",2023-04-24,-47.4,70.984,23.584
"376",2023-04-25,-60.96,89.081,28.121
"377",2023-04-26,-34.73,57.718,22.988
"378",2023-04-27,-41.55,57.592,16.042
"379",2023-04-28,0.530000000000002,16.616,17.146
"380",2023-04-29,35.24,19.808,55.048
"381",2023-04-30,34.01,9.419,43.429
"382",2023-05-01,-30.52,57.854,27.334
"383",2023-05-02,-23.33,53.795,30.465
"384",2023-05-03,4.74,48.055,52.795
"385",2023-05-04,-40.71,55.941,15.231
"386",2023-05-05,-19.78,66.023,46.243
"387",2023-05-06,-61,91.42,30.42
"388",2023-05-07,-57.53,72.164,14.634
"389",2023-05-08,-54.05,89.534,35.484
"390",2023-05-09,-31,80.768,49.768
"391",2023-05-10,-81.32,95.233,13.913
"392",2023-05-11,-30.31,87.506,57.196
"393",2023-05-12,-62.1,81.066,18.966
"394",2023-05-13,-18.38,37.175,18.795
"395",2023-05-14,-22.73,94.914,72.184
"396",2023-05-15,-81.08,94.211,13.131
"397",2023-05-16,-75.05,86.394,11.344
"398",2023-05-17,-58.06,100.09,42.03
"399",2023-05-18,-59.53,96.054,36.524
"400",2023-05-19,-52.32,62.243,9.923
"401",2023-05-20,-22.34,30.801,8.461
"402",2023-05-21,-73.19,81.496,8.306
"403",2023-05-22,-58.33,72.636,14.306
"404",2023-05-23,-63.55,82.996,19.446
"405",2023-05-24,-27.82,74.176,46.356
"406",2023-05-25,-75.51,101.038,25.528
"407",2023-05-26,-75.99,98.477,22.487
"408",2023-05-27,-50.26,95.329,45.069
"409",2023-05-28,-62.43,85.911,23.481
"410",2023-05-29,-22.44,92.995,70.555
"411",2023-05-30,-71.33,96.524,25.194
"412",2023-05-31,-78.14,97.454,19.314
"413",2023-06-01,-65.58,92.867,27.287
"414",2023-06-02,-50.54,70.429,19.889
"415",2023-06-03,12.51,45.868,58.378
"416",2023-06-04,-77.26,93.885,16.625
"417",2023-06-05,-53.09,83.557,30.467
"418",2023-06-06,-39.57,78.633,39.063
"419",2023-06-07,-35.37,51.825,16.455
"420",2023-06-08,-48.71,60.717,12.007
"421",2023-06-09,-17.01,67.181,50.171
"422",2023-06-10,-29.84,86.668,56.828
"423",2023-06-11,-55.77,79.039,23.269
"424",2023-06-12,-10.44,25.399,14.959
"425",2023-06-13,-38.52,88.473,49.953
"426",2023-06-14,-18.22,47.455,29.235
"427",2023-06-15,-50.87,75.302,24.432
"428",2023-06-16,-28.61,42.841,14.231
"429",2023-06-17,-67.0300000000001,82.069,15.039
"430",2023-06-18,-9.98,84.153,74.173
"431",2023-06-19,-63.38,87.148,23.768
"432",2023-06-20,-40.51,65.085,24.575
"433",2023-06-21,-44.58,60.403,15.823
"434",2023-06-22,16.35,31.899,48.249
"435",2023-06-23,-2.32,15.936,13.616
"436",2023-06-24,-30.49,53.264,22.774
"437",2023-06-25,-25.47,59.529,34.059
"438",2023-06-26,26.53,44.256,70.786
"439",2023-06-27,-13.23,33.582,20.352
"440",2023-06-28,-37.56,62.644,25.084
"441",2023-06-29,-48.95,78.345,29.395
"442",2023-06-30,-7.08999999999998,73.781,66.691
"443",2023-07-01,-16.99,46.596,29.606
"444",2023-07-02,-26.74,51.45,24.71
"445",2023-07-03,-1.28999999999998,78.391,77.101
"446",2023-07-04,-43.33,72.754,29.424
"447",2023-07-05,-57.58,93.932,36.352
"448",2023-07-06,-20.88,56.159,35.279
"449",2023-07-07,-7.51,49.489,41.979
"450",2023-07-08,-49.33,79.154,29.824
"451",2023-07-09,12.46,12.001,24.461
"452",2023-07-10,-31.15,70.709,39.559
"453",2023-07-11,-8.86999999999996,90.83,81.96
"454",2023-07-12,-44.54,79.568,35.028
"455",2023-07-13,-42.76,80.233,37.473
"456",2023-07-14,12.26,68.925,81.185
"457",2023-07-15,-33.86,68.393,34.533
"458",2023-07-16,22.22,35.258,57.478
"459",2023-07-17,-40.72,72.79,32.07
"460",2023-07-18,9.77,78.819,88.589
"461",2023-07-19,-3.59,51.801,48.211
